QR code,ent,name,FPhilm,Trial,test,plot,geometry,FP2,Ht,Pod,Mat,Lod,Yld,oil ,protein,notes,rep,loc,locc,rng,row,run,field,Sds/env,,source,,,parents,trait,0,2.5.7,geno,"1,2,3",Reg tests,Variety,
2441ABLV839,14,LD22-2493,PLtbr,2441A,2441ABLV,839,"POLYGON ((10 19, 11 19, 11 20, 10 20, 10 19))",,,,-9,2,54.3,21.9,31.6,,2,Belleville,BLV,,,,,800,,2357A-13,,,20506078GDM x LD11-2170,Rhg1 88788,,,RSSS,SS,,,14
2441ABLV840,12,LD21-3582,PLtLbl,2441A,2441ABLV,840,"POLYGON ((11 19, 12 19, 12 20, 11 20, 11 19))",,,,-9,1,44.1,21.6,33.1,,2,Belleville,BLV,,,,,800,,2341A-19,,,LD15-5776793 x LDX18-256-2-2,"HOLL, Rhg1 88788",,,RSSS,SS,"24 PT 4TM, MSMC",,12
2441ABLV841,23,LD22-8586,PLtbf,2441A,2441ABLV,841,"POLYGON ((2 20, 3 20, 3 21, 2 21, 2 20))",,,,-9,1,44.9,22.2,32.4,,2,Belleville,BLV,,,,,800,,2384B-23,,,LD18-12663 x 2170 HOLL (201-248),"HOLL, Rhg1 88788",,,RSSS,SS,,,23
2441ABLV842,5,LD18-3068,WLtbl,2441A,2441ABLV,842,"POLYGON ((3 20, 4 20, 4 21, 3 21, 3 20))",,,,-9,1,50.1,21.6,33.1,,2,Belleville,BLV,,,,,800,,2341A-6,23 INC Demo,,LD13-3673 x U11-614093,SCN,71,67,HSS,SSR,,Illini 4013,5
2441ABLV843,19,LD22-6452,PTbl,2441A,2441ABLV,843,"POLYGON ((4 20, 5 20, 5 21, 4 21, 4 20))",,,,-9,1,46.7,21.5,33.2,,2,Belleville,BLV,,,,,800,,23GS10-42,,,20506067GDM x LD15-5782791,Rhg1 88788,,,HSSS,SS,,,19
2441ABLV844,3,LD07-3395bf,WGbf,2441A,2441ABLV,844,"POLYGON ((5 20, 6 20, 6 21, 5 21, 5 20))",,,,-9,1,50.7,22.1,31.3,,2,Belleville,BLV,,,,,800,,2341A-3,23 INC,,WW115926 x LD00-2817,"SCN HR,HR",4,15,,,"24 SU, UT III, IV",Illini 3849N,3
2441ABLV845,24,LD22-8646,WLtbl/br,2441A,2441ABLV,845,"POLYGON ((6 20, 7 20, 7 21, 6 21, 6 20))",,,,-9,1,46.5,22,33.2,,2,Belleville,BLV,,,,,800,,2385A-16,,,LD18-12776 x LD18-12663,HOLL,,,.SSS,SS,,,24
2441ABLV846,25,LD22-8703,WLtbr,2441A,2441ABLV,846,"POLYGON ((2 21, 3 21, 3 22, 2 22, 2 21))",,,,-9,1,44.3,22.2,32.9,,2,Belleville,BLV,,,,,800,,2385A-18,,,LD18-12776 x LD18-12663,"HOLL, Rhg1 88788",,,RSSS,SS,,,25
2441ABLV847,22,LD22-8555,PMbr/bf,2441A,2441ABLV,847,"POLYGON ((3 21, 4 21, 4 22, 3 22, 3 21))",,,,-9,1.5,36.9,22.3,32.6,,2,Belleville,BLV,,,,,800,,2385A-14,,,LD18-12663 x 2170 HOLL (201-248),"HOLL Rs2, Rhg1 88788",,,RSSS,SS,,,22
2441ABLV848,7,LD19-11737,PMbl,2441A,2441ABLV,848,"POLYGON ((4 21, 5 21, 5 22, 4 22, 4 21))",,,,-9,1,42.6,22.3,32.5,,2,Belleville,BLV,,,,,800,,2341A-8,23 INC Demo,,(LD12-1843 x LD16-10275) x (LDXGL15-008-1 x LD12-3903),"HOLL,SCN",,,RSSS,SSR,24 MSMC,22PR INC,7
2441ABLV849,13,LD21-5944,PLtbl,2441A,2441ABLV,849,"POLYGON ((5 21, 6 21, 6 22, 5 22, 5 21))",,,,-9,1.5,40.8,21.9,33,,2,Belleville,BLV,,,,,800,,2341A-23,,,LD13-8769 x LD14-3702,"rhg1 88788, SCN soja",,,RSRR,SS,24 SP 4,,13
2441ABLV850,20,LD22-6540,PMLbl,2441A,2441ABLV,850,"POLYGON ((6 21, 7 21, 7 22, 6 22, 6 21))",,,,-9,1,45.5,21.7,32.4,,2,Belleville,BLV,,,,,800,,23GS09-28,,,LD18-12776 x LD18-12663,"HOLL, Rhg1 88788",,,RSSS,SS,,,20
2441ABLV851,10,LD21-3108,PLtbl,2441A,2441ABLV,851,"POLYGON ((7 20, 8 20, 8 21, 7 21, 7 20))",,,,-9,1,53.4,22.3,31.7,,2,Belleville,BLV,,,,,800,,2341A-17,,,LD15-3818 x LD16-07669,"low r1 res, rhg1+4 Het",,,RRSS,SS,24 SP 4,,10
2441ABLV852,6,LD18-7512,PGibl,2441A,2441ABLV,852,"POLYGON ((8 20, 9 20, 9 21, 8 21, 8 20))",,,,-9,1,54.3,22.1,33.6,,2,Belleville,BLV,,,,,800,,2341A-7,23 INC Demo,,U11-614119 x LD12-3866,SCN,14,,RSS,SSS,,Illini 4167N,6
